# Definitive index of every released differential extraction (release 2026-09-04).
# One row per extraction; A_C / curves / cov files are all present for each. total_pct is the
# prediction-total fractional uncertainty (bin-averaged, excluding data statistics); chi2/p are the
# closure against the realised fake-data truth with the full covariance. The six one-bin totals are
# indexed separately in total_xsec.tsv.
tag	family	config	observable	bins	sigma_int	total_pct	detVar_pct	chi2	p	A_C	curves	cov_components	status
incl_COMB_pmu	incl	COMB	pmu	7	8.2740e-01	34.9	21.4	0.412	1.000	A_C_incl_COMB_pmu.tsv	curves_incl_COMB_pmu.tsv	42	primary
incl_COMB_ppi2bin	incl	COMB	ppi2bin	2	7.7470e-01	47.9	30.8	0.007	0.996	A_C_incl_COMB_ppi2bin.tsv	curves_incl_COMB_ppi2bin.tsv	42	primary (two-bin, coarse)
incl_COMB_thetamu	incl	COMB	thetamu	5	8.5120e-01	34.4	20.6	0.562	0.990	A_C_incl_COMB_thetamu.tsv	curves_incl_COMB_thetamu.tsv	42	primary
incl_COMB_thmupi	incl	COMB	thmupi	5	8.7920e-01	33.2	17.7	0.059	1.000	A_C_incl_COMB_thmupi.tsv	curves_incl_COMB_thmupi.tsv	42	primary
incl_FHC5_costhmu	incl	FHC5	costhmu	5	7.5410e-01	42.0	28.3	0.673	0.984	A_C_incl_FHC5_costhmu.tsv	curves_incl_FHC5_costhmu.tsv	42	primary
incl_FHC5_costhpi	incl	FHC5	costhpi	5	6.7420e-01	38.8	22.9	0.684	0.984	A_C_incl_FHC5_costhpi.tsv	curves_incl_FHC5_costhpi.tsv	42	primary
incl_FHC5_pmu	incl	FHC5	pmu	7	8.3840e-01	40.7	24.7	1.449	0.984	A_C_incl_FHC5_pmu.tsv	curves_incl_FHC5_pmu.tsv	42	primary
incl_FHC5_ppi2bin	incl	FHC5	ppi2bin	2	8.2240e-01	50.2	30.3	0.109	0.947	A_C_incl_FHC5_ppi2bin.tsv	curves_incl_FHC5_ppi2bin.tsv	42	primary (two-bin, coarse)
incl_FHC5_thetamu	incl	FHC5	thetamu	5	9.6030e-01	31.0	15.6	1.521	0.911	A_C_incl_FHC5_thetamu.tsv	curves_incl_FHC5_thetamu.tsv	42	primary
incl_FHC5_thmupi	incl	FHC5	thmupi	5	8.1920e-01	36.5	19.6	0.298	0.998	A_C_incl_FHC5_thmupi.tsv	curves_incl_FHC5_thmupi.tsv	42	primary
incl_RHCFULL_costhmu	incl	RHCFULL	costhmu	5	7.3310e-01	46.3	35.0	0.351	0.997	A_C_incl_RHCFULL_costhmu.tsv	curves_incl_RHCFULL_costhmu.tsv	42	primary
incl_RHCFULL_costhpi	incl	RHCFULL	costhpi	5	6.1510e-01	38.5	25.5	0.488	0.993	A_C_incl_RHCFULL_costhpi.tsv	curves_incl_RHCFULL_costhpi.tsv	42	primary
incl_RHCFULL_pmu	incl	RHCFULL	pmu	7	6.8960e-01	37.7	21.5	0.639	0.999	A_C_incl_RHCFULL_pmu.tsv	curves_incl_RHCFULL_pmu.tsv	42	primary
incl_RHCFULL_ppi2bin	incl	RHCFULL	ppi2bin	2	7.4770e-01	48.6	34.7	0.015	0.993	A_C_incl_RHCFULL_ppi2bin.tsv	curves_incl_RHCFULL_ppi2bin.tsv	42	primary (two-bin, coarse)
incl_RHCFULL_thetamu	incl	RHCFULL	thetamu	5	8.0550e-01	36.1	22.4	0.120	1.000	A_C_incl_RHCFULL_thetamu.tsv	curves_incl_RHCFULL_thetamu.tsv	42	primary
incl_RHCFULL_thmupi	incl	RHCFULL	thmupi	5	8.3070e-01	32.6	16.6	0.185	0.999	A_C_incl_RHCFULL_thmupi.tsv	curves_incl_RHCFULL_thmupi.tsv	42	primary
